cell_id	clone_id	dataset_id
SA906-A96211C-R56-C28	D	SA906b
SA906-A96211C-R56-C30	D	SA906b
SA906-A96211C-R56-C31	G	SA906b
SA906-A96211C-R56-C33	I	SA906b
SA906-A96211C-R56-C35	I	SA906b
SA906-A96211C-R56-C36	I	SA906b
SA906-A96211C-R56-C37	I	SA906b
SA906-A96211C-R56-C38	I	SA906b
SA906-A96211C-R56-C39	D	SA906b
SA906-A96211C-R56-C40	G	SA906b
SA906-A96211C-R56-C41	D	SA906b
SA906-A96211C-R56-C43	H	SA906b
SA906-A96211C-R56-C44	F	SA906b
SA906-A96211C-R56-C46	I	SA906b
SA906-A96211C-R56-C47	D	SA906b
SA906-A96211C-R56-C48	A	SA906b
SA906-A96211C-R56-C49	D	SA906b
SA906-A96211C-R56-C53	D	SA906b
SA906-A96211C-R56-C54	I	SA906b
SA906-A96211C-R56-C56	K	SA906b
SA906-A96211C-R56-C57	J	SA906b
SA906-A96211C-R56-C58	B	SA906b
SA906-A96211C-R56-C59	J	SA906b
SA906-A96211C-R56-C60	E	SA906b
SA906-A96211C-R56-C61	I	SA906b
SA906-A96211C-R56-C62	B	SA906b
SA906-A96211C-R56-C63	D	SA906b
SA906-A96211C-R56-C64	B	SA906b
SA906-A96211C-R56-C65	I	SA906b
SA906-A96211C-R56-C66	J	SA906b
SA906-A96211C-R56-C67	I	SA906b
SA906-A96211C-R56-C69	I	SA906b
SA906-A96211C-R56-C70	G	SA906b
SA906-A96211C-R57-C07	G	SA906b
SA906-A96211C-R57-C09	D	SA906b
SA906-A96211C-R57-C10	I	SA906b
SA906-A96211C-R57-C11	C	SA906b
SA906-A96211C-R57-C12	K	SA906b
SA906-A96211C-R57-C13	E	SA906b
SA906-A96211C-R57-C14	I	SA906b
SA906-A96211C-R57-C15	D	SA906b
SA906-A96211C-R57-C17	E	SA906b
SA906-A96211C-R57-C18	G	SA906b
SA906-A96211C-R57-C19	F	SA906b
SA906-A96211C-R57-C20	B	SA906b
SA906-A96211C-R57-C22	H	SA906b
SA906-A96211C-R57-C23	D	SA906b
SA906-A96211C-R57-C24	B	SA906b
SA906-A96211C-R57-C26	I	SA906b
SA906-A96211C-R57-C27	B	SA906b
SA906-A96211C-R57-C28	D	SA906b
SA906-A96211C-R57-C29	I	SA906b
SA906-A96211C-R57-C30	F	SA906b
SA906-A96211C-R57-C31	I	SA906b
SA906-A96211C-R57-C32	D	SA906b
SA906-A96211C-R57-C33	C	SA906b
SA906-A96211C-R57-C34	I	SA906b
SA906-A96211C-R57-C35	C	SA906b
SA906-A96211C-R57-C36	G	SA906b
SA906-A96211C-R57-C39	I	SA906b
SA906-A96211C-R57-C40	A	SA906b
SA906-A96211C-R57-C41	C	SA906b
SA906-A96211C-R57-C43	D	SA906b
SA906-A96211C-R57-C46	J	SA906b
SA906-A96211C-R57-C47	K	SA906b
SA906-A96211C-R57-C48	K	SA906b
SA906-A96211C-R57-C49	A	SA906b
SA906-A96211C-R57-C50	I	SA906b
SA906-A96211C-R57-C51	B	SA906b
SA906-A96211C-R57-C52	I	SA906b
SA906-A96211C-R57-C54	I	SA906b
SA906-A96211C-R57-C55	G	SA906b
SA906-A96211C-R57-C56	D	SA906b
SA906-A96211C-R57-C58	G	SA906b
SA906-A96211C-R57-C60	A	SA906b
SA906-A96211C-R57-C61	D	SA906b
SA906-A96211C-R57-C62	I	SA906b
SA906-A96211C-R57-C63	C	SA906b
SA906-A96211C-R57-C64	B	SA906b
SA906-A96211C-R57-C67	B	SA906b
SA906-A96211C-R57-C68	B	SA906b
SA906-A96211C-R57-C69	D	SA906b
SA906-A96211C-R57-C70	D	SA906b
SA906-A96211C-R58-C07	D	SA906b
SA906-A96211C-R58-C08	I	SA906b
SA906-A96211C-R58-C09	I	SA906b
SA906-A96211C-R58-C12	D	SA906b
SA906-A96211C-R58-C13	G	SA906b
SA906-A96211C-R58-C14	I	SA906b
SA906-A96211C-R58-C15	D	SA906b
SA906-A96211C-R58-C16	G	SA906b
SA906-A96211C-R58-C18	I	SA906b
SA906-A96211C-R58-C19	I	SA906b
SA906-A96211C-R58-C20	D	SA906b
SA906-A96211C-R58-C22	E	SA906b
SA906-A96211C-R58-C23	D	SA906b
SA906-A96211C-R58-C24	D	SA906b
SA906-A96211C-R58-C25	D	SA906b
SA906-A96211C-R58-C27	D	SA906b
SA906-A96211C-R58-C28	D	SA906b
SA906-A96211C-R58-C29	B	SA906b
SA906-A96211C-R58-C30	I	SA906b
SA906-A96211C-R58-C31	B	SA906b
SA906-A96211C-R58-C32	K	SA906b
SA906-A96211C-R58-C35	K	SA906b
SA906-A96211C-R58-C36	D	SA906b
SA906-A96211C-R58-C37	I	SA906b
SA906-A96211C-R58-C41	C	SA906b
SA906-A96211C-R58-C42	I	SA906b
SA906-A96211C-R58-C44	F	SA906b
SA906-A96211C-R58-C45	I	SA906b
SA906-A96211C-R58-C46	I	SA906b
SA906-A96211C-R58-C47	B	SA906b
SA906-A96211C-R58-C48	I	SA906b
SA906-A96211C-R58-C49	K	SA906b
SA906-A96211C-R58-C50	G	SA906b
SA906-A96211C-R58-C51	K	SA906b
SA906-A96211C-R58-C52	K	SA906b
SA906-A96211C-R58-C54	D	SA906b
SA906-A96211C-R58-C55	I	SA906b
SA906-A96211C-R58-C57	I	SA906b
SA906-A96211C-R58-C58	D	SA906b
SA906-A96211C-R58-C59	I	SA906b
SA906-A96211C-R58-C61	D	SA906b
SA906-A96211C-R58-C62	I	SA906b
SA906-A96211C-R58-C63	I	SA906b
SA906-A96211C-R58-C64	D	SA906b
SA906-A96211C-R58-C65	I	SA906b
SA906-A96211C-R58-C66	I	SA906b
SA906-A96211C-R58-C67	F	SA906b
SA906-A96211C-R58-C68	I	SA906b
SA906-A96211C-R58-C69	D	SA906b
SA906-A96211C-R58-C70	J	SA906b
SA906-A96211C-R59-C07	I	SA906b
SA906-A96211C-R59-C08	D	SA906b
SA906-A96211C-R59-C11	D	SA906b
SA906-A96211C-R59-C14	B	SA906b
SA906-A96211C-R59-C15	B	SA906b
SA906-A96211C-R59-C16	D	SA906b
SA906-A96211C-R59-C17	H	SA906b
SA906-A96211C-R59-C18	B	SA906b
SA906-A96211C-R59-C20	C	SA906b
SA906-A96211C-R59-C21	F	SA906b
SA906-A96211C-R59-C22	D	SA906b
SA906-A96211C-R59-C23	D	SA906b
SA906-A96211C-R59-C24	K	SA906b
SA906-A96211C-R59-C25	D	SA906b
SA906-A96211C-R59-C26	F	SA906b
SA906-A96211C-R59-C27	D	SA906b
SA906-A96211C-R59-C28	B	SA906b
SA906-A96211C-R59-C29	F	SA906b
SA906-A96211C-R59-C30	K	SA906b
SA906-A96211C-R59-C31	D	SA906b
SA906-A96211C-R59-C32	D	SA906b
SA906-A96211C-R59-C33	I	SA906b
SA906-A96211C-R59-C35	D	SA906b
SA906-A96211C-R59-C37	J	SA906b
SA906-A96211C-R59-C38	I	SA906b
SA906-A96211C-R59-C40	I	SA906b
SA906-A96211C-R59-C41	B	SA906b
SA906-A96211C-R59-C43	D	SA906b
SA906-A96211C-R59-C44	I	SA906b
SA906-A96211C-R59-C45	I	SA906b
SA906-A96211C-R59-C46	A	SA906b
SA906-A96211C-R59-C47	J	SA906b
SA906-A96211C-R59-C48	B	SA906b
SA906-A96211C-R59-C50	F	SA906b
SA906-A96211C-R59-C51	I	SA906b
SA906-A96211C-R59-C52	I	SA906b
SA906-A96211C-R59-C53	A	SA906b
SA906-A96211C-R59-C54	B	SA906b
SA906-A96211C-R59-C55	H	SA906b
SA906-A96211C-R59-C56	D	SA906b
SA906-A96211C-R59-C57	E	SA906b
SA906-A96211C-R59-C58	F	SA906b
SA906-A96211C-R59-C60	A	SA906b
SA906-A96211C-R59-C61	D	SA906b
SA906-A96211C-R59-C62	B	SA906b
SA906-A96211C-R59-C63	I	SA906b
SA906-A96211C-R59-C65	C	SA906b
SA906-A96211C-R59-C66	J	SA906b
SA906-A96211C-R59-C67	G	SA906b
SA906-A96211C-R59-C68	C	SA906b
SA906-A96211C-R59-C69	K	SA906b
SA906-A96211C-R59-C70	I	SA906b
SA906-A96211C-R60-C10	C	SA906b
SA906-A96211C-R60-C13	I	SA906b
SA906-A96211C-R60-C14	G	SA906b
SA906-A96211C-R60-C15	D	SA906b
SA906-A96211C-R60-C16	A	SA906b
SA906-A96211C-R60-C17	F	SA906b
SA906-A96211C-R60-C18	G	SA906b
SA906-A96211C-R60-C19	I	SA906b
SA906-A96211C-R60-C20	I	SA906b
SA906-A96211C-R60-C23	B	SA906b
SA906-A96211C-R60-C24	I	SA906b
SA906-A96211C-R60-C25	I	SA906b
SA906-A96211C-R60-C27	C	SA906b
SA906-A96211C-R60-C30	G	SA906b
SA906-A96211C-R60-C31	D	SA906b
SA906-A96211C-R60-C32	I	SA906b
SA906-A96211C-R60-C34	J	SA906b
SA906-A96211C-R60-C35	D	SA906b
SA906-A96211C-R60-C36	I	SA906b
SA906-A96211C-R60-C38	H	SA906b
SA906-A96211C-R60-C42	B	SA906b
SA906-A96211C-R60-C44	E	SA906b
SA906-A96211C-R60-C46	F	SA906b
SA906-A96211C-R60-C47	I	SA906b
SA906-A96211C-R60-C51	B	SA906b
SA906-A96211C-R60-C52	B	SA906b
SA906-A96211C-R60-C54	B	SA906b
SA906-A96211C-R60-C55	B	SA906b
SA906-A96211C-R60-C56	I	SA906b
SA906-A96211C-R60-C57	D	SA906b
SA906-A96211C-R60-C58	B	SA906b
SA906-A96211C-R60-C59	J	SA906b
SA906-A96211C-R60-C60	C	SA906b
SA906-A96211C-R60-C61	I	SA906b
SA906-A96211C-R60-C62	I	SA906b
SA906-A96211C-R60-C63	D	SA906b
SA906-A96211C-R60-C64	H	SA906b
SA906-A96211C-R60-C65	C	SA906b
SA906-A96211C-R60-C66	G	SA906b
SA906-A96211C-R60-C67	I	SA906b
SA906-A96211C-R60-C68	K	SA906b
SA906-A96211C-R60-C69	I	SA906b
SA906-A96211C-R60-C70	I	SA906b
SA906-A96211C-R61-C08	I	SA906b
SA906-A96211C-R61-C10	D	SA906b
SA906-A96211C-R61-C11	G	SA906b
SA906-A96211C-R61-C12	A	SA906b
SA906-A96211C-R61-C15	I	SA906b
SA906-A96211C-R61-C16	C	SA906b
SA906-A96211C-R61-C19	D	SA906b
SA906-A96211C-R61-C20	I	SA906b
SA906-A96211C-R61-C21	B	SA906b
SA906-A96211C-R61-C23	D	SA906b
SA906-A96211C-R61-C24	I	SA906b
SA906-A96211C-R61-C25	G	SA906b
SA906-A96211C-R61-C26	D	SA906b
SA906-A96211C-R61-C27	I	SA906b
SA906-A96211C-R61-C28	D	SA906b
SA906-A96211C-R61-C29	D	SA906b
SA906-A96211C-R61-C31	G	SA906b
SA906-A96211C-R61-C32	K	SA906b
SA906-A96211C-R61-C34	B	SA906b
SA906-A96211C-R61-C36	I	SA906b
SA906-A96211C-R61-C39	I	SA906b
SA906-A96211C-R61-C40	B	SA906b
SA906-A96211C-R61-C41	G	SA906b
SA906-A96211C-R61-C43	D	SA906b
SA906-A96211C-R61-C46	D	SA906b
SA906-A96211C-R61-C47	I	SA906b
SA906-A96211C-R61-C48	J	SA906b
SA906-A96211C-R61-C49	I	SA906b
SA906-A96211C-R61-C50	C	SA906b
SA906-A96211C-R61-C51	J	SA906b
SA906-A96211C-R61-C53	D	SA906b
SA906-A96211C-R61-C54	D	SA906b
SA906-A96211C-R61-C55	K	SA906b
SA906-A96211C-R61-C56	J	SA906b
SA906-A96211C-R61-C57	D	SA906b
SA906-A96211C-R61-C58	J	SA906b
SA906-A96211C-R61-C60	I	SA906b
SA906-A96211C-R61-C61	D	SA906b
SA906-A96211C-R61-C62	G	SA906b
SA906-A96211C-R61-C63	G	SA906b
SA906-A96211C-R61-C64	G	SA906b
SA906-A96211C-R61-C65	I	SA906b
SA906-A96211C-R61-C66	C	SA906b
SA906-A96211C-R61-C67	D	SA906b
SA906-A96211C-R61-C68	I	SA906b
SA906-A96211C-R61-C69	D	SA906b
SA906-A96211C-R61-C70	D	SA906b
SA906-A96211C-R62-C07	D	SA906b
SA906-A96211C-R62-C09	I	SA906b
SA906-A96211C-R62-C10	D	SA906b
SA906-A96211C-R62-C12	C	SA906b
SA906-A96211C-R62-C14	D	SA906b
SA906-A96211C-R62-C15	B	SA906b
SA906-A96211C-R62-C17	I	SA906b
SA906-A96211C-R62-C18	D	SA906b
SA906-A96211C-R62-C20	I	SA906b
SA906-A96211C-R62-C21	D	SA906b
SA906-A96211C-R62-C22	D	SA906b
SA906-A96211C-R62-C23	D	SA906b
SA906-A96211C-R62-C24	D	SA906b
SA906-A96211C-R62-C25	G	SA906b
SA906-A96211C-R62-C27	D	SA906b
SA906-A96211C-R62-C28	C	SA906b
SA906-A96211C-R62-C29	I	SA906b
SA906-A96211C-R62-C31	I	SA906b
SA906-A96211C-R62-C33	H	SA906b
SA906-A96211C-R62-C34	G	SA906b
SA906-A96211C-R62-C35	K	SA906b
SA906-A96211C-R62-C36	D	SA906b
SA906-A96211C-R62-C37	B	SA906b
SA906-A96211C-R62-C38	F	SA906b
SA906-A96211C-R62-C39	D	SA906b
SA906-A96211C-R62-C40	D	SA906b
SA906-A96211C-R62-C41	G	SA906b
SA906-A96211C-R62-C42	C	SA906b
SA906-A96211C-R62-C43	J	SA906b
SA906-A96211C-R62-C45	E	SA906b
SA906-A96211C-R62-C46	G	SA906b
SA906-A96211C-R62-C48	A	SA906b
SA906-A96211C-R62-C49	C	SA906b
SA906-A96211C-R62-C50	I	SA906b
SA906-A96211C-R62-C51	J	SA906b
SA906-A96211C-R62-C52	B	SA906b
SA906-A96211C-R62-C53	K	SA906b
SA906-A96211C-R62-C54	C	SA906b
SA906-A96211C-R62-C55	I	SA906b
SA906-A96211C-R62-C57	E	SA906b
SA906-A96211C-R62-C58	I	SA906b
SA906-A96211C-R62-C60	A	SA906b
SA906-A96211C-R62-C61	I	SA906b
SA906-A96211C-R62-C62	C	SA906b
SA906-A96211C-R62-C63	D	SA906b
SA906-A96211C-R62-C64	J	SA906b
SA906-A96211C-R62-C66	B	SA906b
SA906-A96211C-R62-C67	G	SA906b
SA906-A96211C-R62-C69	C	SA906b
SA906-A96211C-R62-C70	B	SA906b
SA906-A96211C-R63-C08	D	SA906b
SA906-A96211C-R63-C09	D	SA906b
SA906-A96211C-R63-C12	K	SA906b
SA906-A96211C-R63-C16	B	SA906b
SA906-A96211C-R63-C19	H	SA906b
SA906-A96211C-R63-C20	I	SA906b
SA906-A96211C-R63-C21	G	SA906b
SA906-A96211C-R63-C22	F	SA906b
SA906-A96211C-R63-C25	D	SA906b
SA906-A96211C-R63-C26	C	SA906b
SA906-A96211C-R63-C28	D	SA906b
SA906-A96211C-R63-C29	C	SA906b
SA906-A96211C-R63-C30	G	SA906b
SA906-A96211C-R63-C31	D	SA906b
SA906-A96211C-R63-C32	E	SA906b
SA906-A96211C-R63-C33	I	SA906b
SA906-A96211C-R63-C34	I	SA906b
SA906-A96211C-R63-C35	I	SA906b
SA906-A96211C-R63-C36	G	SA906b
SA906-A96211C-R63-C37	K	SA906b
SA906-A96211C-R63-C38	C	SA906b
SA906-A96211C-R63-C39	C	SA906b
SA906-A96211C-R63-C40	G	SA906b
SA906-A96211C-R63-C42	B	SA906b
SA906-A96211C-R63-C43	G	SA906b
SA906-A96211C-R63-C44	F	SA906b
SA906-A96211C-R63-C46	G	SA906b
SA906-A96211C-R63-C47	D	SA906b
SA906-A96211C-R63-C48	D	SA906b
SA906-A96211C-R63-C49	D	SA906b
SA906-A96211C-R63-C51	I	SA906b
SA906-A96211C-R63-C53	D	SA906b
SA906-A96211C-R63-C54	B	SA906b
SA906-A96211C-R63-C56	B	SA906b
SA906-A96211C-R63-C57	A	SA906b
SA906-A96211C-R63-C58	B	SA906b
SA906-A96211C-R63-C59	J	SA906b
SA906-A96211C-R63-C60	G	SA906b
SA906-A96211C-R63-C61	D	SA906b
SA906-A96211C-R63-C62	B	SA906b
SA906-A96211C-R63-C63	G	SA906b
SA906-A96211C-R63-C64	I	SA906b
SA906-A96211C-R63-C65	K	SA906b
SA906-A96211C-R63-C66	C	SA906b
SA906-A96211C-R63-C67	D	SA906b
SA906-A96211C-R63-C68	F	SA906b
SA906-A96211C-R63-C69	B	SA906b
SA906-A96211C-R63-C70	B	SA906b
SA906-A96211C-R64-C07	I	SA906b
SA906-A96211C-R64-C08	D	SA906b
SA906-A96211C-R64-C09	D	SA906b
SA906-A96211C-R64-C11	D	SA906b
SA906-A96211C-R64-C12	I	SA906b
SA906-A96211C-R64-C13	C	SA906b
SA906-A96211C-R64-C15	B	SA906b
SA906-A96211C-R64-C16	I	SA906b
