cell_id	clone_id	dataset_id
SA906-A96175C-R54-C64	B	SA906a
SA906-A96175C-R54-C65	D	SA906a
SA906-A96175C-R54-C67	C	SA906a
SA906-A96175C-R54-C70	L	SA906a
SA906-A96175C-R55-C07	C	SA906a
SA906-A96175C-R55-C09	B	SA906a
SA906-A96175C-R55-C10	G	SA906a
SA906-A96175C-R55-C11	D	SA906a
SA906-A96175C-R55-C13	E	SA906a
SA906-A96175C-R55-C14	B	SA906a
SA906-A96175C-R55-C15	D	SA906a
SA906-A96175C-R55-C16	C	SA906a
SA906-A96175C-R55-C20	B	SA906a
SA906-A96175C-R55-C21	C	SA906a
SA906-A96175C-R55-C23	J	SA906a
SA906-A96175C-R55-C24	G	SA906a
SA906-A96175C-R55-C25	F	SA906a
SA906-A96175C-R55-C26	B	SA906a
SA906-A96175C-R55-C27	G	SA906a
SA906-A96175C-R55-C32	G	SA906a
SA906-A96175C-R55-C33	G	SA906a
SA906-A96175C-R55-C34	D	SA906a
SA906-A96175C-R55-C40	G	SA906a
SA906-A96175C-R55-C42	A	SA906a
SA906-A96175C-R55-C44	D	SA906a
SA906-A96175C-R55-C45	B	SA906a
SA906-A96175C-R55-C46	I	SA906a
SA906-A96175C-R55-C48	L	SA906a
SA906-A96175C-R55-C50	D	SA906a
SA906-A96175C-R55-C54	F	SA906a
SA906-A96175C-R55-C55	G	SA906a
SA906-A96175C-R55-C57	F	SA906a
SA906-A96175C-R55-C63	K	SA906a
SA906-A96175C-R55-C64	G	SA906a
SA906-A96175C-R55-C67	L	SA906a
SA906-A96175C-R55-C69	D	SA906a
SA906-A96175C-R56-C08	L	SA906a
SA906-A96175C-R56-C09	G	SA906a
SA906-A96175C-R56-C12	D	SA906a
SA906-A96175C-R56-C13	A	SA906a
SA906-A96175C-R56-C17	G	SA906a
SA906-A96175C-R56-C18	D	SA906a
SA906-A96175C-R56-C19	C	SA906a
SA906-A96175C-R56-C21	C	SA906a
SA906-A96175C-R56-C23	G	SA906a
SA906-A96175C-R56-C26	L	SA906a
SA906-A96175C-R56-C29	A	SA906a
SA906-A96175C-R56-C30	C	SA906a
SA906-A96175C-R56-C31	G	SA906a
SA906-A96175C-R56-C32	E	SA906a
SA906-A96175C-R56-C34	B	SA906a
SA906-A96175C-R56-C35	K	SA906a
SA906-A96175C-R56-C37	D	SA906a
SA906-A96175C-R56-C38	J	SA906a
SA906-A96175C-R56-C41	D	SA906a
