,isabl_patient_id,isabl_sample_id,isabl_aliquot_id,isabl_pk,isabl_application,isabl_version,technique_category,technique_method,technique_name,sample_category,num_targets,version,result_type,result_filepath
48,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98247A_L1,8664,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,params,/juno/work/shah/isabl_data_lake/analyses/86/64/8664/results/A98247A_params.csv.gz
49,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98247A_L1,8664,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,metadata,/juno/work/shah/isabl_data_lake/analyses/86/64/8664/results/metadata.yaml
50,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98247A_L1,8664,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,segments,/juno/work/shah/isabl_data_lake/analyses/86/64/8664/results/A98247A_segments.csv.gz
51,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98247A_L1,8664,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,command_err,/juno/work/shah/isabl_data_lake/analyses/86/64/8664/head_job.err
52,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98247A_L1,8664,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,command_log,/juno/work/shah/isabl_data_lake/analyses/86/64/8664/head_job.log
53,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98247A_L1,8664,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,hmmcopy_data,/juno/work/shah/isabl_data_lake/analyses/86/64/8664/results/A98247A_hmmcopy_data.tar.gz
54,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98247A_L1,8664,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,igv_segments,/juno/work/shah/isabl_data_lake/analyses/86/64/8664/results/A98247A_igv_segments.seg
55,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98247A_L1,8664,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,heatmap_by_ec,/juno/work/shah/isabl_data_lake/analyses/86/64/8664/results/A98247A_heatmap_by_ec.pdf
56,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98247A_L1,8664,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,command_script,/juno/work/shah/isabl_data_lake/analyses/86/64/8664/head_job.sh
57,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98247A_L1,8664,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,kernel_density,/juno/work/shah/isabl_data_lake/analyses/86/64/8664/results/A98247A_kernel_density.pdf
58,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98247A_L1,8664,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,results_metadata,/juno/work/shah/isabl_data_lake/analyses/86/64/8664/results/metadata.yaml
59,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98247A_L1,8664,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,hmmcopy_metrics_csv,/juno/work/shah/isabl_data_lake/analyses/86/64/8664/results/A98247A_hmmcopy_metrics.csv.gz
60,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98247A_L1,8664,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,hmmcopy_metrics_pdf,/juno/work/shah/isabl_data_lake/analyses/86/64/8664/results/A98247A_hmmcopy_metrics.pdf
61,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98240A_L1,8665,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,bias,/juno/work/shah/isabl_data_lake/analyses/86/65/8665/results/A98240A_bias.tar.gz
62,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98240A_L1,8665,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,segs,/juno/work/shah/isabl_data_lake/analyses/86/65/8665/results/A98240A_segs.tar.gz
63,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98240A_L1,8665,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,reads,/juno/work/shah/isabl_data_lake/analyses/86/65/8665/results/A98240A_reads.csv.gz
64,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98240A_L1,8665,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,params,/juno/work/shah/isabl_data_lake/analyses/86/65/8665/results/A98240A_params.csv.gz
65,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98240A_L1,8665,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,metadata,/juno/work/shah/isabl_data_lake/analyses/86/65/8665/results/metadata.yaml
66,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98240A_L1,8665,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,segments,/juno/work/shah/isabl_data_lake/analyses/86/65/8665/results/A98240A_segments.csv.gz
67,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98240A_L1,8665,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,command_err,/juno/work/shah/isabl_data_lake/analyses/86/65/8665/head_job.err
68,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98240A_L1,8665,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,command_log,/juno/work/shah/isabl_data_lake/analyses/86/65/8665/head_job.log
69,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98240A_L1,8665,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,hmmcopy_data,/juno/work/shah/isabl_data_lake/analyses/86/65/8665/results/A98240A_hmmcopy_data.tar.gz
70,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98240A_L1,8665,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,igv_segments,/juno/work/shah/isabl_data_lake/analyses/86/65/8665/results/A98240A_igv_segments.seg
71,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98240A_L1,8665,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,heatmap_by_ec,/juno/work/shah/isabl_data_lake/analyses/86/65/8665/results/A98240A_heatmap_by_ec.pdf
72,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98240A_L1,8665,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,command_script,/juno/work/shah/isabl_data_lake/analyses/86/65/8665/head_job.sh
73,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98240A_L1,8665,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,kernel_density,/juno/work/shah/isabl_data_lake/analyses/86/65/8665/results/A98240A_kernel_density.pdf
74,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98240A_L1,8665,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,results_metadata,/juno/work/shah/isabl_data_lake/analyses/86/65/8665/results/metadata.yaml
75,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98240A_L1,8665,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,hmmcopy_metrics_csv,/juno/work/shah/isabl_data_lake/analyses/86/65/8665/results/A98240A_hmmcopy_metrics.csv.gz
76,SA530,SA530X3XB03295,SA530_SA530X3XB03295_A98240A_L1,8665,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,hmmcopy_metrics_pdf,/juno/work/shah/isabl_data_lake/analyses/86/65/8665/results/A98240A_hmmcopy_metrics.pdf
77,SA501,SA501X15XB00929,SA501_SA501X15XB00929_A96173A_L2,8666,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,bias,/juno/work/shah/isabl_data_lake/analyses/86/66/8666/results/A96173A_bias.tar.gz
78,SA501,SA501X15XB00929,SA501_SA501X15XB00929_A96173A_L2,8666,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,segs,/juno/work/shah/isabl_data_lake/analyses/86/66/8666/results/A96173A_segs.tar.gz
