cell_id	clone_id	dataset_id
SA1056-A95635A-R13-C09	B	SA1056
SA1056-A95635A-R13-C11	B	SA1056
SA1056-A95635A-R13-C12	B	SA1056
SA1056-A95635A-R13-C13	B	SA1056
SA1056-A95635A-R13-C16	B	SA1056
SA1056-A95635A-R13-C17	A	SA1056
SA1056-A95635A-R13-C19	B	SA1056
SA1056-A95635A-R13-C21	B	SA1056
SA1056-A95635A-R13-C22	A	SA1056
SA1056-A95635A-R13-C23	B	SA1056
SA1056-A95635A-R13-C25	B	SA1056
SA1056-A95635A-R13-C26	A	SA1056
SA1056-A95635A-R13-C27	B	SA1056
SA1056-A95635A-R13-C29	A	SA1056
SA1056-A95635A-R13-C30	A	SA1056
SA1056-A95635A-R13-C32	A	SA1056
SA1056-A95635A-R13-C33	A	SA1056
SA1056-A95635A-R13-C37	A	SA1056
SA1056-A95635A-R13-C39	B	SA1056
SA1056-A95635A-R13-C41	A	SA1056
SA1056-A95635A-R13-C44	B	SA1056
SA1056-A95635A-R13-C45	A	SA1056
SA1056-A95635A-R13-C46	B	SA1056
SA1056-A95635A-R13-C49	B	SA1056
SA1056-A95635A-R13-C50	B	SA1056
SA1056-A95635A-R13-C51	A	SA1056
SA1056-A95635A-R13-C52	A	SA1056
SA1056-A95635A-R13-C53	B	SA1056
SA1056-A95635A-R13-C55	B	SA1056
SA1056-A95635A-R13-C56	A	SA1056
SA1056-A95635A-R13-C57	A	SA1056
SA1056-A95635A-R13-C58	B	SA1056
SA1056-A95635A-R13-C59	A	SA1056
SA1056-A95635A-R13-C64	B	SA1056
SA1056-A95635A-R13-C65	B	SA1056
SA1056-A95635A-R13-C67	B	SA1056
SA1056-A95635A-R13-C68	B	SA1056
SA1056-A95635A-R13-C70	A	SA1056
SA1056-A95635A-R14-C08	B	SA1056
SA1056-A95635A-R14-C10	B	SA1056
SA1056-A95635A-R14-C13	B	SA1056
SA1056-A95635A-R14-C14	B	SA1056
SA1056-A95635A-R14-C16	A	SA1056
SA1056-A95635A-R14-C17	A	SA1056
SA1056-A95635A-R14-C18	B	SA1056
SA1056-A95635A-R14-C21	B	SA1056
SA1056-A95635A-R14-C22	B	SA1056
SA1056-A95635A-R14-C24	A	SA1056
SA1056-A95635A-R14-C25	B	SA1056
SA1056-A95635A-R14-C28	B	SA1056
SA1056-A95635A-R14-C29	A	SA1056
SA1056-A95635A-R14-C30	B	SA1056
SA1056-A95635A-R14-C31	A	SA1056
SA1056-A95635A-R14-C32	B	SA1056
SA1056-A95635A-R14-C33	A	SA1056
SA1056-A95635A-R14-C34	B	SA1056
SA1056-A95635A-R14-C38	A	SA1056
SA1056-A95635A-R14-C39	B	SA1056
SA1056-A95635A-R14-C43	B	SA1056
SA1056-A95635A-R14-C44	B	SA1056
SA1056-A95635A-R14-C49	A	SA1056
SA1056-A95635A-R14-C51	B	SA1056
SA1056-A95635A-R14-C53	B	SA1056
SA1056-A95635A-R14-C57	A	SA1056
SA1056-A95635A-R14-C59	B	SA1056
SA1056-A95635A-R14-C60	A	SA1056
SA1056-A95635A-R14-C65	B	SA1056
SA1056-A95635A-R14-C67	B	SA1056
SA1056-A95635A-R14-C68	B	SA1056
SA1056-A95635A-R14-C69	A	SA1056
SA1056-A95635A-R15-C08	B	SA1056
SA1056-A95635A-R15-C10	B	SA1056
SA1056-A95635A-R15-C11	B	SA1056
SA1056-A95635A-R15-C12	B	SA1056
SA1056-A95635A-R15-C13	A	SA1056
SA1056-A95635A-R15-C16	A	SA1056
SA1056-A95635A-R15-C18	B	SA1056
SA1056-A95635A-R15-C19	B	SA1056
SA1056-A95635A-R15-C21	A	SA1056
SA1056-A95635A-R15-C22	A	SA1056
SA1056-A95635A-R15-C25	A	SA1056
SA1056-A95635A-R15-C26	B	SA1056
SA1056-A95635A-R15-C27	A	SA1056
SA1056-A95635A-R15-C28	A	SA1056
SA1056-A95635A-R15-C29	A	SA1056
SA1056-A95635A-R15-C31	A	SA1056
SA1056-A95635A-R15-C32	B	SA1056
SA1056-A95635A-R15-C33	A	SA1056
SA1056-A95635A-R15-C34	A	SA1056
SA1056-A95635A-R15-C35	A	SA1056
SA1056-A95635A-R15-C37	A	SA1056
SA1056-A95635A-R15-C40	B	SA1056
SA1056-A95635A-R15-C41	B	SA1056
SA1056-A95635A-R15-C44	B	SA1056
SA1056-A95635A-R15-C45	B	SA1056
SA1056-A95635A-R15-C46	B	SA1056
SA1056-A95635A-R15-C48	B	SA1056
SA1056-A95635A-R15-C49	A	SA1056
SA1056-A95635A-R15-C52	A	SA1056
SA1056-A95635A-R15-C53	B	SA1056
SA1056-A95635A-R15-C55	B	SA1056
SA1056-A95635A-R15-C57	B	SA1056
SA1056-A95635A-R15-C58	B	SA1056
SA1056-A95635A-R15-C59	B	SA1056
SA1056-A95635A-R15-C60	B	SA1056
SA1056-A95635A-R15-C61	B	SA1056
SA1056-A95635A-R15-C62	B	SA1056
SA1056-A95635A-R15-C66	B	SA1056
SA1056-A95635A-R15-C68	A	SA1056
