cell_id	clone_id
SA921-A90554A-R14-C40	B
SA921-A90554A-R14-C41	A
SA921-A90554A-R14-C42	A
SA921-A90554A-R14-C43	A
SA921-A90554A-R14-C45	A
SA921-A90554A-R14-C48	C
SA921-A90554A-R14-C49	B
SA921-A90554A-R14-C50	A
SA921-A90554A-R14-C51	A
SA921-A90554A-R14-C56	A
SA921-A90554A-R14-C57	C
SA921-A90554A-R14-C58	C
SA921-A90554A-R14-C59	A
SA921-A90554A-R14-C60	A
SA921-A90554A-R14-C61	B
SA921-A90554A-R14-C64	A
SA921-A90554A-R14-C65	A
SA921-A90554A-R14-C66	C
SA921-A90554A-R14-C67	A
SA921-A90554A-R14-C68	B
SA921-A90554A-R14-C69	B
SA921-A90554A-R15-C08	A
SA921-A90554A-R15-C10	A
SA921-A90554A-R15-C11	A
SA921-A90554A-R15-C12	C
SA921-A90554A-R15-C13	B
SA921-A90554A-R15-C20	A
SA921-A90554A-R15-C21	C
SA921-A90554A-R15-C22	C
SA921-A90554A-R15-C24	A
SA921-A90554A-R15-C25	C
SA921-A90554A-R15-C27	A
SA921-A90554A-R15-C30	B
SA921-A90554A-R15-C32	A
SA921-A90554A-R15-C33	A
SA921-A90554A-R15-C36	A
SA921-A90554A-R15-C37	B
SA921-A90554A-R15-C40	C
SA921-A90554A-R15-C42	C
SA921-A90554A-R15-C44	C
SA921-A90554A-R15-C48	C
SA921-A90554A-R15-C51	A
SA921-A90554A-R15-C52	A
SA921-A90554A-R15-C58	B
SA921-A90554A-R15-C64	A
SA921-A90554A-R15-C65	C
SA921-A90554A-R15-C66	C
SA921-A90554A-R15-C68	A
SA921-A90554A-R15-C69	C
SA922-A90554B-R23-C26	E
SA922-A90554B-R23-C27	E
SA922-A90554B-R23-C28	E
SA922-A90554B-R23-C30	E
SA922-A90554B-R23-C32	E
SA922-A90554B-R23-C35	D
SA922-A90554B-R23-C36	E
SA922-A90554B-R23-C37	E
SA922-A90554B-R23-C43	E
SA922-A90554B-R23-C44	E
SA922-A90554B-R23-C45	E
SA922-A90554B-R23-C46	E
SA922-A90554B-R23-C48	E
SA922-A90554B-R23-C49	E
SA922-A90554B-R23-C59	E
SA922-A90554B-R23-C60	E
SA922-A90554B-R23-C68	E
SA922-A90554B-R24-C09	E
SA922-A90554B-R24-C12	E
SA922-A90554B-R24-C14	D
SA922-A90554B-R24-C17	E
SA922-A90554B-R24-C19	E
SA922-A90554B-R24-C20	E
SA922-A90554B-R24-C21	E
SA922-A90554B-R24-C22	E
SA922-A90554B-R24-C24	E
SA922-A90554B-R24-C25	E
SA922-A90554B-R24-C26	E
SA922-A90554B-R24-C28	E
SA922-A90554B-R24-C32	E
SA922-A90554B-R24-C34	E
SA922-A90554B-R24-C40	E
SA922-A90554B-R24-C41	E
SA922-A90554B-R24-C67	E
SA922-A90554B-R24-C68	E
SA922-A90554B-R24-C69	E
SA922-A90554B-R25-C08	E
SA922-A90554B-R25-C09	E
SA922-A90554B-R25-C10	E
SA922-A90554B-R25-C17	E
SA922-A90554B-R25-C18	D
SA922-A90554B-R25-C19	D
SA922-A90554B-R25-C20	E
SA922-A90554B-R25-C22	E
SA922-A90554B-R25-C29	E
SA922-A90554B-R25-C30	D
SA922-A90554B-R25-C40	D
SA922-A90554B-R25-C41	E
SA922-A90554B-R25-C43	E
SA922-A90554B-R25-C44	E
SA922-A90554B-R25-C49	E
SA922-A90554B-R25-C52	E
SA922-A90554B-R25-C56	E
SA922-A90554B-R25-C58	D
SA922-A90554B-R25-C59	D
SA922-A90554B-R25-C62	E
SA922-A90554B-R25-C65	E
SA922-A90554B-R25-C67	E
SA922-A90554B-R25-C68	E
SA922-A90554B-R25-C70	E
SA922-A90554B-R26-C07	E
SA922-A90554B-R26-C08	E
SA922-A90554B-R26-C10	E
SA922-A90554B-R26-C11	E
SA922-A90554B-R26-C12	E
SA922-A90554B-R26-C20	E
SA922-A90554B-R26-C22	E
SA922-A90554B-R26-C24	E
SA922-A90554B-R26-C28	D
SA922-A90554B-R26-C32	E
SA922-A90554B-R26-C40	E
SA922-A90554B-R26-C41	E
SA922-A90554B-R26-C43	E
SA922-A90554B-R26-C44	E
SA922-A90554B-R26-C45	E
SA922-A90554B-R26-C49	E
SA922-A90554B-R26-C50	E
SA922-A90554B-R26-C51	E
SA922-A90554B-R26-C56	E
SA922-A90554B-R26-C57	E
SA922-A90554B-R26-C58	E
SA922-A90554B-R26-C60	E
SA922-A90554B-R26-C61	D
SA922-A90554B-R26-C62	E
SA922-A90554B-R26-C64	E
SA922-A90554B-R26-C66	E
SA922-A90554B-R26-C69	D
SA922-A90554B-R26-C70	D
SA922-A90554B-R27-C12	E
SA922-A90554B-R27-C13	D
SA922-A90554B-R27-C18	E
SA922-A90554B-R27-C21	E
SA922-A90554B-R27-C27	E
SA922-A90554B-R27-C29	E
SA922-A90554B-R27-C32	E
SA922-A90554B-R27-C40	E
SA922-A90554B-R27-C41	E
SA922-A90554B-R27-C43	E
SA922-A90554B-R27-C44	E
SA922-A90554B-R27-C48	E
SA922-A90554B-R27-C57	E
SA922-A90554B-R27-C58	E
SA922-A90554B-R27-C59	E
SA922-A90554B-R27-C60	E
SA922-A90554B-R27-C61	E
SA922-A90554B-R27-C62	E
SA922-A90554B-R27-C64	D
SA922-A90554B-R27-C68	E
SA922-A90554B-R27-C69	E
SA922-A90554B-R27-C70	E
SA922-A90554B-R28-C07	E
SA922-A90554B-R28-C10	D
SA922-A90554B-R28-C11	E
SA922-A90554B-R28-C12	E
SA922-A90554B-R28-C17	D
SA922-A90554B-R28-C18	E
SA922-A90554B-R28-C19	E
SA922-A90554B-R28-C20	E
SA922-A90554B-R28-C22	E
SA922-A90554B-R28-C24	E
SA922-A90554B-R28-C25	E
SA922-A90554B-R28-C32	E
SA922-A90554B-R28-C35	E
SA922-A90554B-R28-C38	E
SA922-A90554B-R28-C40	E
SA922-A90554B-R28-C42	D
SA922-A90554B-R28-C45	E
SA922-A90554B-R28-C48	D
SA922-A90554B-R28-C50	E
SA922-A90554B-R28-C56	E
SA922-A90554B-R28-C57	E
SA922-A90554B-R28-C60	E
SA922-A90554B-R28-C66	E
SA922-A90554B-R28-C67	E
SA922-A90554B-R28-C70	E
SA922-A90554B-R29-C10	D
SA922-A90554B-R29-C18	E
SA922-A90554B-R29-C19	E
SA922-A90554B-R29-C21	E
SA922-A90554B-R29-C22	E
SA922-A90554B-R29-C25	E
SA922-A90554B-R29-C26	E
SA922-A90554B-R29-C28	E
SA922-A90554B-R29-C35	E
SA922-A90554B-R29-C36	E
SA922-A90554B-R29-C40	E
SA922-A90554B-R29-C42	E
SA922-A90554B-R29-C43	E
SA922-A90554B-R29-C44	E
SA922-A90554B-R29-C45	E
SA922-A90554B-R29-C49	E
SA922-A90554B-R29-C51	E
SA922-A90554B-R29-C56	E
SA922-A90554B-R29-C61	E
SA922-A90554B-R29-C64	E
SA922-A90554B-R29-C67	E
SA922-A90554B-R29-C68	E
SA922-A90554B-R29-C69	D
SA922-A90554B-R30-C08	E
SA922-A90554B-R30-C09	E
SA922-A90554B-R30-C12	E
SA922-A90554B-R30-C14	E
SA922-A90554B-R30-C17	E
SA922-A90554B-R30-C18	E
SA922-A90554B-R30-C20	E
SA922-A90554B-R30-C22	E
SA922-A90554B-R30-C24	E
SA922-A90554B-R30-C25	E
SA922-A90554B-R30-C27	E
SA922-A90554B-R30-C28	E
SA922-A90554B-R30-C29	E
SA922-A90554B-R30-C32	E
SA922-A90554B-R30-C34	E
SA922-A90554B-R30-C40	D
SA922-A90554B-R30-C41	E
SA922-A90554B-R30-C42	E
SA922-A90554B-R30-C43	E
SA922-A90554B-R30-C44	E
SA922-A90554B-R30-C45	E
SA922-A90554B-R30-C49	E
SA922-A90554B-R30-C50	E
SA922-A90554B-R30-C51	E
SA922-A90554B-R30-C60	E
SA922-A90554B-R30-C64	E
SA922-A90554B-R30-C65	E
SA922-A90554B-R30-C66	E
SA922-A90554B-R30-C70	E
SA922-A90554B-R31-C09	D
SA922-A90554B-R31-C10	E
SA922-A90554B-R31-C18	E
SA922-A90554B-R31-C19	E
SA922-A90554B-R31-C20	E
SA922-A90554B-R31-C25	E
SA922-A90554B-R31-C29	E
SA922-A90554B-R31-C30	E
SA922-A90554B-R31-C34	E
SA922-A90554B-R31-C35	E
SA922-A90554B-R31-C36	E
SA922-A90554B-R31-C38	D
SA922-A90554B-R31-C40	D
SA922-A90554B-R31-C41	D
SA922-A90554B-R31-C42	E
SA922-A90554B-R31-C43	E
SA922-A90554B-R31-C45	E
SA922-A90554B-R31-C51	E
SA922-A90554B-R31-C52	E
SA922-A90554B-R31-C56	E
SA922-A90554B-R31-C66	E
SA922-A90554B-R31-C70	E
SA922-A90554B-R32-C10	E
SA922-A90554B-R32-C12	E
SA922-A90554B-R32-C13	E
SA922-A90554B-R32-C16	E
SA922-A90554B-R32-C19	E
SA922-A90554B-R32-C21	D
SA922-A90554B-R32-C25	D
SA922-A90554B-R32-C34	E
SA922-A90554B-R32-C35	E
SA922-A90554B-R32-C38	E
SA922-A90554B-R32-C41	E
SA922-A90554B-R33-C19	E
SA922-A90554B-R33-C27	E
SA922-A90554B-R33-C28	D
SA922-A90554B-R33-C29	E
SA922-A90554B-R33-C35	E
SA922-A90554B-R33-C37	E
SA922-A90554B-R33-C38	E
SA922-A90554B-R33-C41	E
SA922-A90554B-R33-C42	E
SA922-A90554B-R33-C44	E
SA922-A90554B-R33-C45	E
SA922-A90554B-R33-C48	E
SA922-A90554B-R33-C51	E
SA922-A90554B-R33-C52	E
SA922-A90554B-R33-C56	E
SA922-A90554B-R33-C57	E
SA922-A90554B-R33-C58	D
SA922-A90554B-R33-C60	E
SA922-A90554B-R33-C69	E
SA922-A90554B-R33-C70	D
SA922-A90554B-R34-C08	E
SA922-A90554B-R34-C09	E
SA922-A90554B-R34-C12	E
SA922-A90554B-R34-C14	E
SA922-A90554B-R34-C16	E
