index,label,datasetname,timepoint,sample_id,library_id,total_sequenced_cells,cells_post_qc,cells_post_mouse_filter,cells_post_jump,median_nreads_per_cell,std_nreads_per_cell,median_coverage_depth,std_coverage_depth,median_coverage_breadth,std_coverage_breadth,median_quality,std_quality
81,TNBC-SA609 Rx Line 1,SA000,X4,SA609X4XB003083,A95720A,1408,287,,49,299214.5,832246.9872,0.000809,0.022570758,0.000477621,0.020982957,0.257,0.317764312
82,TNBC-SA609 UnRx Line 1,SA609,X4,SA609X4XB01721,A95664B,606,380,507,294,2976953.5,1715725.504,0.082964,0.048397767,0.077386791,0.044313901,0.987,0.444288359
83,TNBC-SA609 UnRx Line 1,SA609U1,X4,SA609X4XB01722,A110618B,1009,574,,154,843011,523104.6386,0.021594,0.013619225,0.020825082,0.01308414,0.914,0.450153416
84,TNBC-SA609 UnRx Line 2,SA609UnBU,X4,SA609X4XB03080,A95675A,640,352,573,64,2679419.5,1233852.749,0.0700335,0.037882109,0.065446841,0.034787415,0.436,0.284489299
85,TNBC-SA609 Rx Line 3,SA609TIIDT,X4,SA609X4XB03084,A108846A,1618,627,,396,962558,810033.8026,0.0276025,0.024057038,0.026423921,0.022530527,0.469,0.419371222
86,TNBC-SA609 Holiday Line 3,SA609TIIDT,X4,SA609X4XB03084,A108846A,1618,627,,396,962558,810033.8026,0.0276025,0.024057038,0.026423921,0.022530527,0.469,0.419371222
87,TNBC-SA609 UnRx Line 1,SA609,X5,SA609X5XB01844,A95724B,561,366,422,313,662826,393066.1591,0.012546,0.007535923,0.012265613,0.007314806,0.964,0.421330678
88,TNBC-SA609 UnRx Line 2,SA004,X5,SA609X5XB03223,A98304A,1133,185,354,28,1625273,951983.2131,0.042289,0.022873044,0.040193007,0.021329455,0.33,0.303056042
89,TNBC-SA609 Rx Line 2,SA609R2,X5,SA609X5XB03226,A110621A,1100,585,,463,794705,452170.347,0.0159745,0.013297298,0.015501637,0.012783103,0.835,0.398287171
90,TNBC-SA609 Rx Line 1,SA000,X5,SA609X5XB03230,A98289B,994,622,878,471,1931423.5,861579.6195,0.049949,0.023720229,0.047364604,0.022121579,0.97,0.346653833
91,TNBC-SA609  Holiday Line 1,SA001,X5,SA609X5XB03231,A98294A,957,341,796,261,499412,2159388.275,0.00672,0.056723467,0.006439778,0.051162835,0.384,0.421379897
92,TNBC-SA609 Rx Line 3,SA609TIIDT,X5,SA609X5XB03235,A108842A,1434,458,,354,1112814.5,471110.3499,0.0310085,0.013252607,0.029781003,0.012588309,0.392,0.34311734
93,TNBC-SA609 Holiday Line 3,SA609TIIDT,X5,SA609X5XB03235,A108842A,1434,458,,354,1112814.5,471110.3499,0.0310085,0.013252607,0.029781003,0.012588309,0.392,0.34311734
94,TNBC-SA609 Rx Line 3,SA609TIIDT,X5,SA609X5XB03235,A108846B,1586,557,,425,588018.5,688093.7018,0.0160025,0.019440202,0.015352186,0.01797396,0.554,0.344513937
95,TNBC-SA609 Holiday Line 3,SA609TIIDT,X5,SA609X5XB03235,A108846B,1586,557,,425,588018.5,688093.7018,0.0160025,0.019440202,0.015352186,0.01797396,0.554,0.344513937
96,TNBC-SA609 UnRx Line 1,SA609,X6,SA609X6XB01899,A95632D,635,490,508,359,2411493,920721.4847,0.067491,0.0327192,0.06333116,0.030251437,0.988,0.302298292
97,TNBC-SA609 Rx Line 2,SA609R2,X6,SA609X6XB03387,A118833B,1111,648,,523,649853,438482.7505,0.017095,0.011842628,0.016569277,0.01131783,0.904,0.380210758
98,TNBC-SA609 Rx Line 1,SA609R1,X6,SA609X6XB03400,A110673A,1052,845,,777,780171.5,309682.6388,0.0191925,0.008941121,0.018577001,0.008584462,0.994,0.315019415
99,TNBC-SA609  Holiday Line 1,SA001,X6,SA609X6XB03401,A98284B,1553,852,1255,496,1029313,829570.3044,0.030966,0.024498468,0.029824988,0.022811175,0.828,0.388200514
100,TNBC-SA609  Holiday Line 1,SA609H1,X6,SA609X6XB03402,A110632A,1117,825,,745,676492,313361.3356,0.017034,0.008711907,0.016519069,0.008401738,0.994,0.364647616
101,TNBC-SA609 Rx Line 1,SA000,X6,SA609X6XB03404,A98284A,1247,679,1080,448,1207790,1273452.642,0.030056,0.035843325,0.028892619,0.033137045,0.856,0.428066289
102,TNBC-SA609 UnRx Line 2,SA609UnBU,X6,SA609X6XB03447,A98234B,1550,1269,1547,244,1297716.5,506360.7461,0.0374145,0.014601362,0.035817599,0.013782511,0.992,0.296227755
103,TNBC-SA609 UnRx Line 2,SA609UnBU,X6,SA609X6XB03447,A98258B,1317,788,1316,90,1351793,984301.2512,0.036473,0.027528013,0.034734317,0.025392049,0.892,0.35436299
104,TNBC-SA609 UnRx Line 1,SA609,X7,SA609X7XB02184,A95728A,844,473,774,313,951218,2891922.81,0.0255095,0.070047916,0.024613281,0.059893423,0.854,0.383173354
105,TNBC-SA609 Rx Line 1,SA000,X7,SA609X7XB03505,A98176A,964,602,671,529,1063520,629492.1753,0.0268415,0.016613662,0.025833947,0.015851831,0.988,0.442338145
106,TNBC-SA609 Rx Line 1,SA609R1,X7,SA609X7XB03506,A110673B,1119,828,,732,793161,317222.591,0.018689,0.008403516,0.018063916,0.008075768,0.982,0.34372645
107,TNBC-SA609  Holiday Line 1,SA609H1,X7,SA609X7XB03508,A110632B,859,690,,618,857122,378007.8413,0.020205,0.009818237,0.019543861,0.009410748,0.996,0.336540689
108,TNBC-SA609  Holiday Line 1,SA001,X7,SA609X7XB03510,A98176B,1338,822,1219,688,1626490.5,966954.0454,0.0388335,0.024678091,0.037125329,0.023325645,0.992,0.441946783
109,TNBC-SA609 UnRx Line 2,SA609UnBU,X7,SA609X7XB03554,A98234A,1200,713,1178,82,760600.5,489158.6586,0.022231,0.012727525,0.021336401,0.012077459,0.881,0.393651205
110,TNBC-SA609 UnRx Line 2,SA609U2,X7,SA609X7XB03556,A118833A,882,771,,85,794243,410581.6023,0.020114,0.010802368,0.019468339,0.010277178,0.992,0.27217811
111,TNBC-SA609 Rx Line 2,SA609R2,X7,SA609X7XB03573,A118830A,881,621,,508,841241,537405.5279,0.020837,0.013602168,0.020165129,0.012848155,0.958,0.306326878
112,TNBC-SA609  Holiday Line 2,SA609H2,X7,SA609X7XB03574,A118862B,1115,656,,592,699293,349163.4325,0.020779,0.010232849,0.020148188,0.009815315,0.878,0.378070965
113,TNBC-SA609 Rx Line 2,SA609R2,X7,SA609X7XB03578,A118862A,1034,620,,553,780323.5,381842.2392,0.0197785,0.010201386,0.019159845,0.009771112,0.896,0.37246794
114,TNBC-SA609 UnRx Line 1,SA609U1,X8,SA609X8XB02311,A110618A,1148,983,,801,656923,252740.8998,0.0164755,0.00682199,0.015996094,0.006585999,0.992,0.301738232
115,TNBC-SA609 UnRx Line 1,SA609,X8,SA609X8XB02312,A96184A,1632,505,1613,66,407365,658344.2288,0.002097,0.016947526,0.001729921,0.016217306,0.304,0.356483394
116,TNBC-SA609 UnRx Line 1,SA609,X9,SA609X9XB02360,A96217B,1582,1175,1249,505,1209507.5,603263.7025,0.033952,0.017437511,0.032505339,0.016542457,0.996,0.385854126
