V1,single_cell_id,letters,datatag,sample_id
107,SA609X5XB03230-A98289B-R44-C70,A,SA000,SA609X5XB03230
108,SA609X6XB03404-A98284A-R12-C64,A,SA000,SA609X6XB03404
109,SA609X6XB03404-A98284A-R18-C37,A,SA000,SA609X6XB03404
110,SA609X5XB03230-A98289B-R41-C31,A,SA000,SA609X5XB03230
111,SA609X5XB03230-A98289B-R42-C39,A,SA000,SA609X5XB03230
112,SA609X5XB03230-A98289B-R43-C40,A,SA000,SA609X5XB03230
113,SA609X5XB03230-A98289B-R45-C22,A,SA000,SA609X5XB03230
114,SA609X5XB03230-A98289B-R48-C43,A,SA000,SA609X5XB03230
115,SA609X5XB03230-A98289B-R49-C67,A,SA000,SA609X5XB03230
116,SA609X5XB03230-A98289B-R53-C65,A,SA000,SA609X5XB03230
117,SA609X5XB03230-A98289B-R54-C15,A,SA000,SA609X5XB03230
118,SA609X5XB03230-A98289B-R54-C16,A,SA000,SA609X5XB03230
119,SA609X5XB03230-A98289B-R54-C50,A,SA000,SA609X5XB03230
120,SA609X5XB03230-A98289B-R56-C60,A,SA000,SA609X5XB03230
121,SA609X5XB03230-A98289B-R56-C61,A,SA000,SA609X5XB03230
122,SA609X6XB03404-A98284A-R04-C61,A,SA000,SA609X6XB03404
123,SA609X6XB03404-A98284A-R05-C13,A,SA000,SA609X6XB03404
124,SA609X6XB03404-A98284A-R05-C19,A,SA000,SA609X6XB03404
125,SA609X6XB03404-A98284A-R06-C37,A,SA000,SA609X6XB03404
126,SA609X6XB03404-A98284A-R06-C43,A,SA000,SA609X6XB03404
127,SA609X6XB03404-A98284A-R08-C31,A,SA000,SA609X6XB03404
128,SA609X6XB03404-A98284A-R08-C48,A,SA000,SA609X6XB03404
129,SA609X6XB03404-A98284A-R09-C17,A,SA000,SA609X6XB03404
130,SA609X6XB03404-A98284A-R09-C38,A,SA000,SA609X6XB03404
131,SA609X6XB03404-A98284A-R10-C30,A,SA000,SA609X6XB03404
