"single_cell_id" "letters" "datatag"
"318" "SA609X5XB03230-A98289B-R48-C11" "A" "SA000"
"319" "SA609X5XB03230-A98289B-R51-C27" "A" "SA000"
"320" "SA609X6XB03404-A98284A-R05-C64" "A" "SA000"
"321" "SA609X6XB03404-A98284A-R06-C16" "A" "SA000"
"322" "SA609X6XB03404-A98284A-R10-C70" "A" "SA000"
"323" "SA609X6XB03404-A98284A-R12-C45" "A" "SA000"
"324" "SA609X6XB03404-A98284A-R13-C44" "A" "SA000"
"325" "SA609X6XB03404-A98284A-R19-C28" "A" "SA000"
"326" "SA609X5XB03230-A98289B-R43-C19" "A" "SA000"
"327" "SA609X5XB03230-A98289B-R47-C16" "A" "SA000"
"328" "SA609X6XB03404-A98284A-R03-C40" "A" "SA000"
"329" "SA609X6XB03404-A98284A-R08-C44" "A" "SA000"
"330" "SA609X6XB03404-A98284A-R09-C23" "A" "SA000"
"331" "SA609X6XB03404-A98284A-R09-C57" "A" "SA000"
"332" "SA609X6XB03404-A98284A-R11-C21" "A" "SA000"
"333" "SA609X6XB03404-A98284A-R12-C36" "A" "SA000"
"334" "SA609X6XB03404-A98284A-R12-C60" "A" "SA000"
"335" "SA609X6XB03404-A98284A-R21-C13" "A" "SA000"
"336" "SA609X5XB03230-A98289B-R56-C56" "A" "SA000"
"337" "SA609X6XB03404-A98284A-R06-C23" "A" "SA000"
"338" "SA609X5XB03230-A98289B-R56-C68" "A" "SA000"
"339" "SA609X6XB03404-A98284A-R07-C36" "A" "SA000"
"340" "SA609X6XB03404-A98284A-R09-C64" "A" "SA000"
"341" "SA609X6XB03404-A98284A-R16-C55" "A" "SA000"
"342" "SA609X6XB03404-A98284A-R05-C54" "A" "SA000"
"343" "SA609X6XB03404-A98284A-R08-C36" "A" "SA000"
"344" "SA609X6XB03404-A98284A-R03-C08" "A" "SA000"
"345" "SA609X6XB03404-A98284A-R10-C25" "A" "SA000"
"346" "SA609X6XB03404-A98284A-R10-C47" "A" "SA000"
"347" "SA609X6XB03404-A98284A-R11-C40" "A" "SA000"
"348" "SA609X6XB03404-A98284A-R12-C35" "A" "SA000"
"349" "SA609X6XB03404-A98284A-R14-C60" "A" "SA000"
"350" "SA609X6XB03404-A98284A-R15-C32" "A" "SA000"
"351" "SA609X6XB03404-A98284A-R18-C46" "A" "SA000"
"352" "SA609X6XB03404-A98284A-R04-C14" "A" "SA000"
"353" "SA609X6XB03404-A98284A-R05-C06" "A" "SA000"
"354" "SA609X6XB03404-A98284A-R05-C49" "A" "SA000"
"355" "SA609X6XB03404-A98284A-R08-C15" "A" "SA000"
"356" "SA609X6XB03404-A98284A-R12-C67" "A" "SA000"
"357" "SA609X6XB03404-A98284A-R14-C67" "A" "SA000"
"358" "SA609X4XB003083-A95720A-R20-C54" "A" "SA000"
"359" "SA609X5XB03230-A98289B-R41-C08" "A" "SA000"
"360" "SA609X5XB03230-A98289B-R42-C21" "A" "SA000"
"361" "SA609X5XB03230-A98289B-R42-C26" "A" "SA000"
"362" "SA609X5XB03230-A98289B-R43-C60" "A" "SA000"
"363" "SA609X5XB03230-A98289B-R44-C12" "A" "SA000"
"364" "SA609X5XB03230-A98289B-R44-C14" "A" "SA000"
"365" "SA609X5XB03230-A98289B-R45-C23" "A" "SA000"
"366" "SA609X5XB03230-A98289B-R46-C30" "A" "SA000"
"367" "SA609X5XB03230-A98289B-R47-C21" "A" "SA000"
"368" "SA609X5XB03230-A98289B-R48-C49" "A" "SA000"
"369" "SA609X5XB03230-A98289B-R48-C52" "A" "SA000"
"370" "SA609X5XB03230-A98289B-R48-C64" "A" "SA000"
"371" "SA609X5XB03230-A98289B-R49-C32" "A" "SA000"
"372" "SA609X5XB03230-A98289B-R50-C21" "A" "SA000"
"373" "SA609X5XB03230-A98289B-R50-C22" "A" "SA000"
"374" "SA609X5XB03230-A98289B-R50-C32" "A" "SA000"
"375" "SA609X5XB03230-A98289B-R50-C38" "A" "SA000"
"376" "SA609X5XB03230-A98289B-R50-C39" "A" "SA000"
"377" "SA609X5XB03230-A98289B-R51-C38" "A" "SA000"
"378" "SA609X5XB03230-A98289B-R53-C48" "A" "SA000"
"379" "SA609X5XB03230-A98289B-R53-C54" "A" "SA000"
"380" "SA609X5XB03230-A98289B-R54-C22" "A" "SA000"
"381" "SA609X5XB03230-A98289B-R54-C27" "A" "SA000"
"382" "SA609X5XB03230-A98289B-R55-C30" "A" "SA000"
"383" "SA609X5XB03230-A98289B-R55-C54" "A" "SA000"
"384" "SA609X5XB03230-A98289B-R56-C18" "A" "SA000"
"385" "SA609X5XB03230-A98289B-R57-C12" "A" "SA000"
"386" "SA609X5XB03230-A98289B-R58-C63" "A" "SA000"
"387" "SA609X5XB03230-A98289B-R59-C35" "A" "SA000"
"388" "SA609X6XB03404-A98284A-R05-C07" "A" "SA000"
"389" "SA609X6XB03404-A98284A-R05-C11" "A" "SA000"
"390" "SA609X6XB03404-A98284A-R05-C41" "A" "SA000"
"391" "SA609X6XB03404-A98284A-R05-C65" "A" "SA000"
"392" "SA609X6XB03404-A98284A-R05-C67" "A" "SA000"
"393" "SA609X6XB03404-A98284A-R07-C22" "A" "SA000"
"394" "SA609X6XB03404-A98284A-R07-C28" "A" "SA000"
"395" "SA609X6XB03404-A98284A-R09-C08" "A" "SA000"
"396" "SA609X6XB03404-A98284A-R09-C56" "A" "SA000"
"397" "SA609X6XB03404-A98284A-R10-C27" "A" "SA000"
"398" "SA609X6XB03404-A98284A-R10-C41" "A" "SA000"
"399" "SA609X6XB03404-A98284A-R10-C56" "A" "SA000"
